rank,channel_name,no_of_videos,no_of_subscribers,total_views,category
#1,MrBeast,799,274M,50.98B, Entertainment          
#2,T-Series,21.12K,267M,257.16B, Music                  
#3,Cocomelon - Nursery Rhymes,1.18K,176M,182.88B, Kids                   
#4,SET India,138.97K,173M,164.71B, Entertainment          
#5,✿ Kids Diana Show,1.22K,123M,103.5B, Kids                   
#6,Vlad and Niki,721,119M,90.94B, Kids                   
#7,Like Nastya,885,116M,100.9B, Kids                   
#8,PewDiePie,4.77K,111M,29.31B, Entertainment          
#9,Zee Music Company,11.22K,107M,66.84B, Music                  
#10,WWE,76.61K,102M,84.98B, Sports/Entertainment   
#11,Goldmines,8.55K,97.2M,29.04B, Movies                 
#12,BLACKPINK,596,93.9M,36.02B, Music                  
#13,Sony SAB,85.72K,92.5M,115.24B, Entertainment          
#14,ChuChu TV Nursery Rhymes & Kids Songs,792,91.3M,51.03B, Kids                   
#15,Zee TV,175.68K,80.7M,89.41B, Entertainment          
#16,5-Minute Crafts,7.05K,80.7M,27.39B, DIY/Education          
#17,BANGTANTV,2.51K,78.1M,22.97B, Music                  
#18,Baby Shark - Pinkfong Kids’ Songs & Stories,3.24K,75.3M,43.81B, Kids                
#19,HYBE LABELS,1.85K,74.9M,34.26B, Music                  
#20,Colors TV,151.75K,73M,70.94B, Entertainment          
#21,Justin Bieber,249,73M,32.31B, Music                  
#22,Shemaroo Filmi Gaane,8.58K,68.5M,29.3B, Music                  
#23,T-Series Bhakti Sagar,28.01K,67.8M,34.04B, Music                  
#24,Canal KondZilla,2.81K,67.1M,38.29B, Music                  
#25,Tips Official,5.82K,66.2M,38.83B, Music                  
#26,Aaj Tak,365.35K,65.2M,31.73B, News                   
#27,El Reino Infantil,1.48K,64.4M,60.42B, Kids                   
#28,Stokes Twins,304,63.3M,9.28B, Entertainment          
#29,Infobells - Hindi,674,62.3M,36.12B, Kids                   
#30,Wave Music,20.15K,62M,42.76B, Music                  
#31,Movieclips,40.61K,61.4M,62.2B, Movies                 
#32,Sony Music India,4.69K,60.5M,31.93B, Music                  
#33,EminemMusic,165,60.3M,29.73B, Music                  
#34,Dude Perfect,437,60.2M,17.42B, Sports/Entertainment   
#35,YRF,4.1K,60.1M,41.11B, Music                  
#36,Taylor Swift,268,59.2M,35.44B, Music                  
#37,Marshmello,484,57.1M,15.74B, Music                  
#38,LooLoo Kids - Nursery Rhymes and Children's Songs,842,56.9M,34.45B, Kids          
#39,ZAMZAM ELECTRONICS TRADING,17.66K,56.8M,26.05B, Entertainment          
#40,BillionSurpriseToys  - Nursery Rhymes & Cartoons,1.05K,56.8M,11.6B, Kids            
#41,Toys and Colors,1.24K,56.7M,65.66B, Kids                   
#42,A4,915,54.8M,28.7B, Entertainment          
#43,Ed Sheeran,474,54.7M,32.44B, Music                  
#44,HAR PAL GEO,133.64K,54.5M,53.63B, Entertainment          
#45,Ariana Grande,190,54.2M,26.21B, Music                  
#46,ARY Digital HD,139.17K,53.8M,51.02B, Entertainment          
#47,Shemaroo,12.25K,53.5M,24.55B, Movies                 
#48,Mark Rober,156,53.4M,6.32B, Education              
#49,PANDA BOI,1.1K,52M,24.22B, Entertainment          
